Kreis;31.12.2015;31.12.2016;31.12.2017;31.12.2018;31.12.2019
Berlin;3520031;3574830;3613495;3644826;3669491
Hamburg;1787408;1810438;1830584;1841179;1847253
München;1450381;1464301;1456039;1471508;1484226
Region Hannover, Landkreis;1144481;1148700;1152675;1157624;1157115
Köln;1060582;1075935;1080394;1085664;1087863
Frankfurt am Main;732688;736414;746878;753056;763380
Stuttgart;623738;628032;632743;634830;635911
Düsseldorf;612178;613230;617280;619294;621877
Recklinghausen, Landkreis;617807;617195;616824;615261;614137
Rhein-Sieg-Kreis;596213;597854;599056;599780;600764
Leipzig;560472;571088;581980;587857;593145
Dortmund;586181;585813;586600;587010;588250
Essen;582624;583084;583393;583109;582760
Bremen;557464;565719;568006;569352;567559
Städteregion Aachen, Landkreis;553922;552472;554068;555465;557026
Dresden;543825;547172;551072;554649;556780
Rhein-Neckar-Kreis;541859;544400;546745;547625;548355
Ludwigsburg, Landkreis;534074;537902;542630;543984;545423
Esslingen, Landkreis;524127;528792;532447;533859;535024
Nürnberg;509975;511628;515201;518365;518370
Duisburg;491231;499845;498110;498590;498686
Mettmann, Landkreis;483279;484770;485409;485684;485570
Rhein-Erft-Kreis;466657;465549;467209;470089;470615
Wesel, Landkreis;462664;461715;460666;459809;459976
Rhein-Kreis Neuss;450026;447431;449408;451007;451730
Steinfurt, Landkreis;443374;444409;446565;447614;448220
Karlsruhe, Landkreis;435841;440337;442673;444232;445101
Ortenaukreis;420106;423359;425932;429479;430953
Rems-Murr-Kreis;419456;422698;424878;426158;427248
Main-Kinzig-Kreis;411956;416715;418208;418950;420552
Märkischer Kreis;416171;414886;413383;412120;410222
Unna, Landkreis;396035;393869;393934;394782;394891
Böblingen, Landkreis;381281;385888;389548;391640;392807
Borken, Landkreis;369666;369226;369718;370676;371339
Bochum;364742;364920;365529;364628;365587
Gütersloh, Landkreis;360642;361828;363049;364083;364938
Osnabrück, Landkreis;358079;354807;356140;357343;358080
Offenbach, Landkreis;347357;349982;351692;354092;355813
Wuppertal;350046;352390;353590;354382;355100
München, Landkreis;340003;343405;346433;348871;350473
Lippe, Landkreis;350750;348933;349069;348391;347514
Heilbronn, Landkreis;334388;337571;340772;343068;344456
Erzgebirgskreis;347665;344136;340373;337696;334948
Bielefeld;333090;333451;332552;333786;334195
Bonn;318809;322125;325490;327258;329673
Regionalverband Saarbrücken, Landkreis;327380;329593;330150;329708;328714
Emsland, Landkreis;319488;321391;323636;325657;326954
Göttingen, Landkreis;-;327065;328036;328074;326041
Ennepe-Ruhr-Kreis;325954;325374;324670;324296;324106
Pinneberg, Landkreis;307471;310653;312662;314391;316103
Münster;310039;311846;313559;314319;315293
Zwickau, Landkreis;324534;322099;319988;317531;315002
Ostalbkreis;312650;311587;312422;314002;314025
Kleve, Landkreis;310337;310329;311270;310974;312465
Karlsruhe;307755;309999;311919;313092;312060
Mannheim;305780;304781;307997;309370;310658
Minden-Lübbecke, Landkreis;313050;311866;311207;310710;310409
Wetteraukreis;301931;303914;305312;306460;308339
Paderborn, Landkreis;304332;305198;305362;306890;307839
Mittelsachsen, Landkreis;312450;310505;308153;306185;304099
Soest, Landkreis;302995;301655;301693;301902;301785
Bautzen, Landkreis;306273;304691;302634;300880;299758
Viersen, Landkreis;297661;298422;298733;298935;298863
Darmstadt-Dieburg, Landkreis;292773;294744;296048;297399;297844
Augsburg;286374;289584;292851;295135;296582
Reutlingen, Landkreis;282113;284082;285754;286748;287034
Konstanz, Landkreis;280288;282191;284015;285325;286305
Ravensburg, Landkreis;279296;281627;283264;284285;285424
Rheinisch-Bergischer Kreis;282729;283304;283344;283455;283271
Wiesbaden;276218;277619;278654;278342;278474
Warendorf, Landkreis;277431;277744;277458;277783;277840
Segeberg, Landkreis;267503;272235;274025;276032;277175
Siegen-Wittgenstein, Landkreis;280800;277933;277977;278210;276944
Hildesheim, Landkreis;277055;277300;276640;276594;275817
Groß-Gerau, Landkreis;266042;269045;271403;274526;275726
Rendsburg-Eckernförde, Landkreis;270378;272337;273022;272775;274098
Oberbergischer Kreis;273452;273139;272968;272471;272057
Gießen, Landkreis;262505;265699;267056;268876;270688
Bergstraße, Landkreis;266928;267935;268780;269694;270340
Düren, Landkreis;262828;262072;262889;263722;264638
Breisgau-Hochschwarzwald, Landkreis;257343;260416;262405;262795;263601
Rosenheim, Landkreis;256074;257466;259449;260983;261330
Mönchengladbach;259996;260925;262188;261454;261034
Hochsauerlandkreis;263762;262269;261591;260475;259777
Gelsenkirchen;260368;262528;260305;260654;259645
Göppingen, Landkreis;252749;254618;256345;257253;258145
Leipzig, Landkreis;258408;258333;258008;257763;258139
Mecklenburgische Seenplatte, Landkreis;262517;261816;260574;259130;258074
Heinsberg, Landkreis;252527;252651;253106;254322;255555
Harburg, Landkreis;248122;250326;251511;252776;254431
Augsburg, Landkreis;245600;247539;249838;251534;253468
Lahn-Dill-Kreis;253167;254074;254164;253777;253319
Görlitz, Landkreis;260000;258337;256587;254894;252725
Herford, Landkreis;252122;251074;251539;250783;250578
Braunschweig;251364;248667;248023;248292;249406
Marburg-Biedenkopf, Landkreis;245241;245013;246165;246648;247084
Kiel;246306;247441;247943;247548;246794
Chemnitz;248645;246353;246855;247237;246334
Sächsische Schweiz-Osterzgebirge, Landkreis;247412;246066;245418;245611;245586
Stormarn, Landkreis;239614;241811;242472;243196;244156
Meißen, Landkreis;245244;243889;242862;242165;241717
Halle (Saale);236991;238005;239173;239257;238762
